Label,Point_1_x,Point_1_y,Point_2_x,Point_2_y,Point_3_x,Point_3_y,Point_4_x,Point_4_y,Point_5_x,Point_5_y,Point_6_x,Point_6_y,Point_7_x,Point_7_y,Point_8_x,Point_8_y
refplate,38,384,71,416,59,428,30,407,,,,,,,,
P2,446,365,423,390,415,430,425,458,434,410,457,387,,,,
P3,386,202,382,227,367,239,359,255,376,252,385,288,403,276,,
S3,464,67,457,110,476,125,,,,,,,,,,
